,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
0,0,3,1,29.0,1,0,7.0458,0,0,1
1,0,3,1,4.0,4,2,31.275,0,0,1
2,1,2,0,7.0,0,2,26.25,0,0,1
3,1,3,0,5.0,0,0,12.475,0,0,1
4,1,2,0,19.0,0,0,26.0,0,0,1
5,1,2,0,22.0,1,2,41.5792,1,0,0
6,1,3,1,31.0,0,0,7.925,0,0,1
7,0,2,1,34.0,0,0,13.0,0,0,1
8,0,3,1,26.0,0,0,7.8958,0,0,1
9,1,1,0,44.0,0,1,57.9792,1,0,0
10,1,3,1,20.0,1,0,7.925,0,0,1
11,1,2,0,24.0,2,1,27.0,0,0,1
12,0,3,1,38.0,0,0,7.8958,0,0,1
13,0,2,1,21.0,2,0,73.5,0,0,1
14,0,2,1,18.0,0,0,11.5,0,0,1
15,0,3,1,39.0,1,5,31.275,0,0,1
16,0,3,1,22.0,0,0,7.125,0,0,1
17,1,1,1,25.0,1,0,55.4417,1,0,0
18,1,1,1,36.0,0,0,26.3875,0,0,1
19,1,3,1,25.0,1,0,7.775,0,0,1
20,1,1,1,25.0,1,0,91.0792,1,0,0
21,1,2,0,27.0,1,0,13.8583,1,0,0
22,1,2,0,40.0,1,1,39.0,0,0,1
23,0,1,1,60.0,0,0,26.55,0,0,1
24,1,1,0,52.0,1,1,93.5,0,0,1
25,0,3,0,10.0,0,2,24.15,0,0,1
26,1,1,1,42.0,0,0,26.2875,0,0,1
27,1,1,0,16.0,0,0,86.5,0,0,1
28,1,3,0,18.0,0,0,9.8417,0,0,1
29,0,3,1,23.5,0,0,7.2292,1,0,0
30,1,3,0,4.0,1,1,16.7,0,0,1
31,0,3,1,51.0,0,0,8.05,0,0,1
32,0,2,1,25.0,0,0,13.0,0,0,1
33,1,1,1,49.0,1,0,56.9292,1,0,0
34,0,3,1,19.0,0,0,10.1708,0,0,1
35,0,2,1,36.0,0,0,10.5,0,0,1
36,0,2,1,25.0,1,2,41.5792,1,0,0
37,1,3,0,24.0,0,2,16.7,0,0,1
38,1,2,0,27.0,0,0,10.5,0,0,1
39,0,2,1,34.0,1,0,26.0,0,0,1
40,0,3,1,29.0,0,0,7.775,0,0,1
41,1,1,1,35.0,0,0,26.2875,0,0,1
42,0,1,1,47.0,0,0,38.5,0,0,1
43,0,3,0,30.5,0,0,7.75,0,1,0
44,0,1,1,45.5,0,0,28.5,0,0,1
45,0,2,1,44.0,1,0,26.0,0,0,1
46,1,1,1,11.0,1,2,120.0,0,0,1
47,1,1,0,40.0,0,0,153.4625,0,0,1
48,1,2,1,2.0,1,1,26.0,0,0,1
49,1,1,0,24.0,0,0,69.3,1,0,0
50,1,2,1,19.0,0,0,10.5,0,0,1
51,0,1,1,38.0,0,0,0.0,0,0,1
52,0,1,1,29.0,1,0,66.6,0,0,1
53,0,3,1,36.0,0,0,0.0,0,0,1
54,0,2,1,35.0,0,0,26.0,0,0,1
55,1,1,1,48.0,1,0,76.7292,1,0,0
56,0,1,0,50.0,0,0,28.7125,1,0,0
57,1,1,0,39.0,1,0,55.9,0,0,1
58,1,2,0,54.0,1,3,23.0,0,0,1
59,0,3,1,23.0,0,0,9.225,0,0,1
60,0,3,1,17.0,1,0,7.0542,0,0,1
61,0,3,0,41.0,0,2,20.2125,0,0,1
62,0,3,1,20.5,0,0,7.25,0,0,1
63,0,2,1,24.0,2,0,73.5,0,0,1
64,0,1,1,28.0,1,0,82.1708,1,0,0
65,1,2,0,29.0,1,0,26.0,0,0,1
66,1,2,0,42.0,1,0,26.0,0,0,1
67,0,2,1,18.0,0,0,13.0,0,0,1
68,0,2,0,27.0,1,0,21.0,0,0,1
69,1,1,0,24.0,3,2,263.0,0,0,1
70,0,3,1,22.0,0,0,7.8958,0,0,1
71,1,2,0,34.0,1,1,32.5,0,0,1
72,1,1,0,18.0,2,2,262.375,1,0,0
73,0,2,1,54.0,0,0,14.0,0,0,1
74,0,2,1,29.0,0,0,10.5,0,0,1
75,1,1,0,35.0,1,0,53.1,0,0,1
76,1,3,0,23.0,0,0,7.55,0,0,1
77,0,3,1,45.0,0,0,6.975,0,0,1
78,0,3,1,35.0,0,0,7.125,0,0,1
79,0,3,1,26.0,0,0,7.775,0,0,1
80,0,3,1,43.0,0,0,6.45,0,0,1
81,1,3,0,22.0,0,0,7.775,0,0,1
82,0,1,1,24.0,0,1,247.5208,1,0,0
83,0,3,1,33.0,0,0,7.8958,0,0,1
84,0,3,1,16.0,4,1,39.6875,0,0,1
85,0,3,1,30.0,0,0,7.8958,0,0,1
86,1,2,0,6.0,0,1,33.0,0,0,1
87,0,3,0,14.5,1,0,14.4542,1,0,0
88,0,1,1,50.0,1,0,55.9,0,0,1
89,0,3,0,45.0,1,4,27.9,0,0,1
90,0,3,1,17.0,1,1,7.2292,1,0,0
91,0,3,1,25.0,0,0,7.05,0,0,1
92,0,3,1,30.0,1,0,16.1,0,0,1
93,0,3,0,40.0,1,0,9.475,0,0,1
94,0,3,1,24.0,0,0,7.05,0,0,1
95,1,2,0,14.0,1,0,30.0708,1,0,0
96,1,2,1,1.0,2,1,39.0,0,0,1
97,0,3,0,18.0,0,1,14.4542,1,0,0
98,0,1,0,2.0,1,2,151.55,0,0,1
99,0,3,1,4.0,4,1,29.125,0,1,0
100,0,3,1,28.0,0,0,7.8542,0,0,1
101,0,3,1,42.0,0,0,7.55,0,0,1
102,0,2,1,34.0,1,0,21.0,0,0,1
103,1,2,1,32.0,1,0,26.0,0,0,1
104,1,3,1,30.0,0,0,9.5,0,0,1
105,0,3,1,40.0,1,4,27.9,0,0,1
106,0,3,1,2.0,4,1,39.6875,0,0,1
107,1,2,0,50.0,0,0,10.5,0,0,1
108,0,3,0,24.0,0,0,8.85,0,0,1
109,1,1,0,48.0,1,0,39.6,1,0,0
110,0,3,0,11.0,4,2,31.275,0,0,1
111,0,3,1,26.0,0,0,7.8875,0,0,1
112,0,3,1,30.0,0,0,7.225,1,0,0
113,0,3,0,6.0,4,2,31.275,0,0,1
114,1,2,0,41.0,0,1,19.5,0,0,1
115,0,3,1,33.0,0,0,8.6625,1,0,0
116,0,3,1,21.0,0,0,7.925,0,0,1
117,0,3,0,18.0,2,0,18.0,0,0,1
118,0,3,1,18.0,0,0,7.7958,0,0,1
119,0,2,1,23.0,0,0,13.0,0,0,1
120,0,3,1,21.0,0,0,8.05,0,0,1
121,0,3,1,35.0,0,0,7.05,0,0,1
122,0,2,1,30.0,0,0,10.5,0,0,1
123,0,3,0,30.0,0,0,8.6625,0,0,1
124,1,1,0,22.0,0,0,151.55,0,0,1
125,0,3,1,32.0,0,0,7.925,0,0,1
126,1,1,1,27.0,0,0,30.5,0,0,1
127,0,3,1,33.0,0,0,7.8958,1,0,0
128,1,3,0,16.0,0,0,7.7333,0,1,0
129,0,3,1,44.0,0,0,8.05,0,0,1
130,1,1,1,40.0,0,0,31.0,1,0,0
131,1,1,0,35.0,1,0,83.475,0,0,1
132,1,3,0,22.0,0,0,7.25,0,0,1
133,0,1,1,47.0,0,0,25.5875,0,0,1
134,0,3,1,14.0,5,2,46.9,0,0,1
135,1,3,0,1.0,0,2,15.7417,1,0,0
136,0,3,1,32.0,0,0,7.8958,0,0,1
137,0,2,1,21.0,1,0,11.5,0,0,1
138,1,3,1,26.0,0,0,18.7875,1,0,0
139,0,3,0,47.0,1,0,14.5,0,0,1
140,0,3,1,50.0,0,0,8.05,0,0,1
141,0,3,1,22.0,0,0,9.0,0,0,1
142,1,1,1,28.0,0,0,35.5,0,0,1
143,0,3,0,9.0,4,2,31.275,0,0,1
144,1,1,0,47.0,1,1,52.5542,0,0,1
145,0,2,1,25.0,1,0,26.0,0,0,1
146,1,3,0,35.0,1,1,20.25,0,0,1
147,1,2,1,8.0,1,1,36.75,0,0,1
148,0,3,1,28.5,0,0,7.2292,1,0,0
149,1,3,0,31.0,1,1,20.525,0,0,1
150,0,2,1,19.0,1,1,36.75,0,0,1
151,0,3,0,45.0,0,0,7.75,0,0,1
152,0,3,0,9.0,2,2,34.375,0,0,1
153,1,2,1,1.0,0,2,37.0042,1,0,0
154,0,3,1,7.0,4,1,29.125,0,1,0
155,0,3,1,25.0,0,0,7.8958,0,0,1
156,1,1,0,63.0,1,0,77.9583,0,0,1
157,0,3,1,16.0,0,0,7.775,0,0,1
158,0,3,1,30.0,0,0,7.25,0,0,1
159,0,2,0,44.0,1,0,26.0,0,0,1
160,0,3,1,36.0,1,0,15.55,0,0,1
161,0,3,1,28.0,0,0,56.4958,0,0,1
162,0,1,1,33.0,0,0,5.0,0,0,1
163,1,1,1,56.0,0,0,35.5,1,0,0
164,0,3,1,31.0,0,0,7.775,0,0,1
165,1,2,0,35.0,0,0,21.0,0,0,1
166,0,3,1,22.0,0,0,7.25,0,0,1
167,0,3,1,24.0,0,0,7.8958,0,0,1
168,1,3,1,9.0,1,1,15.9,0,0,1
169,0,1,1,62.0,0,0,26.55,0,0,1
170,1,3,1,32.0,0,0,56.4958,0,0,1
171,0,3,1,34.0,0,0,8.05,0,0,1
